Date,Close,High,Low,Open,Volume
2016-03-14,143.45265197753906,144.826199897386,141.58721096235655,144.55705004363767,653800
2016-03-15,142.19972229003906,143.2020454803874,140.39925364226377,141.46653475055567,500100
2016-03-16,142.9607696533203,143.98165855254166,140.44569252362814,141.327361575877,494300
2016-03-17,144.69630432128906,145.6800624234985,141.7728569950091,142.83086286208703,708000
2016-03-18,145.5500946044922,146.22758581129995,143.5547236149051,145.16030456106952,908800
2016-03-21,144.91900634765625,145.95846070007326,143.47121060681206,145.26240396610504,396900
2016-03-22,144.63125610351562,146.1718645508282,144.2600316358453,144.2600316358453,402300
2016-03-23,142.77511596679688,145.0303465499834,141.80992378292441,143.45262120412875,489600
2016-03-24,142.61734008789062,142.72870460042222,139.90736171294034,142.02337241887832,634400
2016-03-28,142.821533203125,143.3319775427832,141.1045879228132,142.61735546726172,463500
2016-03-29,143.12779235839844,143.87025552641654,141.29020699256662,142.19971693870258,515600
2016-03-30,143.6938934326172,144.41779099862094,141.16025195160407,144.32497780859808,587600
2016-03-31,148.03732299804688,148.65913190507436,143.33198741510705,143.5547164795296,1050400
2016-04-01,150.3946533203125,151.66611235653434,145.10462524987844,146.7287575445658,1087700
2016-04-04,148.4085693359375,149.8842061088209,147.10925502768214,149.8842061088209,581200
2016-04-05,147.89813232421875,149.56867128326277,146.47817774935885,147.40625337534885,652900
2016-04-06,152.05589294433594,153.18814623506853,147.49903864813416,147.76818848483606,920100
2016-04-07,150.3111114501953,151.35055145948516,149.04892822692565,150.71945276719632,717200
2016-04-08,154.2275390625,156.055848447565,151.45260311357234,151.65678080255555,724600
2016-04-11,152.29721069335938,156.1301532682336,152.18583199234968,155.5361854543176,447200
2016-04-12,152.065185546875,153.16958356324594,151.20206791573403,152.39929331355714,558200
2016-04-13,153.447998046875,153.447998046875,150.32038817864097,153.13245577913497,671500
2016-04-14,153.45729064941406,153.8285151874547,151.62898076888172,153.13245855764723,337800
2016-04-15,153.71714782714844,153.84707782920046,151.990926850567,153.1324557372603,460900
2016-04-18,156.2229766845703,156.6313322385253,152.8540575257524,153.48515633494935,568300
2016-04-19,155.54544067382812,157.1231660009691,154.29253323566252,156.18580079597035,506400
2016-04-20,157.5594024658203,158.8401371957389,154.8586990044511,155.7496578334168,567500
2016-04-21,156.57557678222656,158.93288161283883,156.3992402244095,157.71710533901057,324000
2016-04-22,158.32968139648438,159.3783970515378,156.26935271302315,157.2902272367845,371700
2016-04-25,157.34585571289062,158.71012732507694,156.49202826875074,158.49667400436772,307200
2016-04-26,158.0048065185547,159.15562489170787,156.8911190846054,158.04192329645457,517600
2016-04-27,160.13014221191406,161.00253545683734,157.29952323638904,158.4874587558948,708600
2016-04-28,157.8378448486328,160.7241467493886,157.4944472017777,159.16498633375286,381200
2016-04-29,157.05824279785156,157.93991185842674,155.3320214727912,157.5408461148875,814000
2016-05-02,159.75892639160156,160.17655756149568,157.0582231122789,157.94918188118766,560600
2016-05-03,160.7334442138672,163.07219910985688,157.57797811200214,159.10002180211652,911800
2016-05-04,157.27169799804688,161.53156161934226,153.38305895362274,159.6011626647301,1236000
2016-05-05,162.41322326660156,164.3343464763835,159.25777202194556,161.48514770507813,2205600
2016-05-06,165.1138916015625,165.58720493968727,159.2391728411972,162.37607210681344,1648300
2016-05-09,169.1417694091797,169.8842326832925,164.58491504860504,165.54083173458346,1368100
2016-05-10,174.33895874023438,175.10924881250315,169.28093679493932,169.32734339432204,1479500
2016-05-11,173.2902069091797,175.69391833994698,172.4827859961453,174.46886640849152,1246200
2016-05-12,173.33673095703125,176.1116686930927,172.15807065904943,174.7010035932722,833200
2016-05-13,171.46194458007812,174.73804988488757,170.53386910197216,173.02110458586833,922500
2016-05-16,173.1510772705078,174.66383091932417,172.09305745632577,172.49213734153116,635500
2016-05-17,172.83547973632812,173.42944743260986,171.2113477679148,172.79836295088228,685800
2016-05-18,172.38072204589844,173.70786301004895,171.39695027119006,171.69394118309586,921100
2016-05-19,171.63827514648438,172.14871947374084,170.0327085910299,171.28560194559674,914500
2016-05-20,173.7171630859375,174.61739744240697,171.88886740256498,172.92830741774287,555100
2016-05-23,175.2113800048828,176.2601099268642,173.27170546920993,173.87496308434558,481000
2016-05-24,176.90977478027344,177.54087358226258,174.3575667585144,175.59190906475877,637700
2016-05-25,179.25775146484375,179.92596686196333,177.26239509039064,178.19974611295544,712600
2016-05-26,177.9120635986328,179.51763018602506,177.13248360766514,179.01647566649092,743600
2016-05-27,178.40493774414062,178.907140046571,176.77741004736663,177.49352620740348,785600
2016-05-31,175.81027221679688,179.5675459539252,173.8293471802005,179.40944488843587,1093800
2016-06-01,175.52198791503906,176.0521040647657,173.39225664288668,175.8102907230979,853600
2016-06-02,174.75001525878906,175.09413085723574,172.18317599401792,175.09413085723574,754000
2016-06-03,173.66189575195312,175.41962554623478,171.6158632482213,174.3501127484192,708300
2016-06-06,174.03392028808594,175.0197351002717,171.50427531787506,173.1968972693269,634800
2016-06-07,173.96878051757812,175.09410605578478,172.83415992864545,173.90368678066147,525100
2016-06-08,176.5170440673828,176.9727428366298,173.21548434635585,175.8195320498807,804500
2016-06-09,175.9869384765625,177.80046699058255,173.29919257862534,177.77256764351446,680000
2016-06-10,172.55519104003906,174.4338276453485,171.68098777529303,174.3780289466328,626700
2016-06-13,170.09066772460938,173.0202131725263,170.0441640749285,171.19738930877577,576100
2016-06-14,168.9559783935547,170.88111802183806,166.37983050603867,169.9603972181918,1015900
2016-06-15,170.80677795410156,172.91790450144626,169.30945131098431,169.80235875956444,555600
2016-06-16,170.46258544921875,171.03920488053336,168.07245228262943,169.97898746284466,700800
2016-06-17,169.95108032226562,170.46257762318146,168.25844487492245,170.02548328388758,873300
2016-06-20,171.2345428466797,173.7641875236365,170.97413949972102,171.58795347080277,752500
2016-06-21,170.95558166503906,171.67168390888128,169.9046588365745,171.36477686541141,523100
2016-06-22,171.0392608642578,171.54146330399843,169.43963206964813,171.05785096841618,489300
2016-06-23,174.79652404785156,174.8058332910875,171.97857638576048,172.73188716005342,724000
2016-06-24,174.76861572265625,178.3305789237568,168.39801424697166,169.54193002358593,2310200
2016-06-27,166.69607543945312,174.00600187631255,165.7567501832305,172.9271798943728,1070200
2016-06-28,168.2119903564453,170.53703036995694,166.6681745725713,168.78860992962046,787500
2016-06-29,172.24826049804688,172.66676483773892,169.77441466300718,170.434718041186,568000
2016-06-30,178.56312561035156,178.66542796870272,172.1274146610558,173.03882664123375,866100
2016-07-01,175.89393615722656,178.93507835548334,173.60609048121438,178.29337921565744,1052700
2016-07-05,173.69915771484375,175.69868719157168,172.7040334084033,175.37318998352845,401600
2016-07-06,181.2787322998047,181.79953903316445,173.18759525586447,173.40149498044025,923600
2016-07-07,181.67868041992188,182.09718489494253,179.7256406152631,181.38106840777806,757600
2016-07-08,182.9341583251953,184.35708177853374,182.0134514971052,183.53867728588907,625100
2016-07-11,182.7760467529297,185.88229684503125,182.70164376863215,183.6781634250248,538100
2016-07-12,184.07806396484375,185.70559199929457,182.92485318262058,183.7711711663554,495400
2016-07-13,183.09228515625,185.0546199102098,182.22737689998672,185.0546199102098,603300
2016-07-14,183.29689025878906,185.37083661137873,182.21806805622057,183.8735099551528,410400
