Date,Close,High,Low,Open,Volume
2016-03-14,38.79798889160156,39.25186245636061,37.57415560536013,39.22754885009591,4389800
2016-03-15,37.217533111572266,38.33600518244699,36.747452618558945,38.23874768247185,6865900
2016-03-16,37.606571197509766,38.238749616970345,36.96628618244771,36.990599785731476,5005000
2016-03-17,35.839717864990234,37.44448093617116,35.37774075776062,37.34722341142834,7655100
2016-03-18,36.51241683959961,36.698828366819825,35.5317288996217,36.163907391217265,6555800
2016-03-21,36.84471130371094,37.3877388038733,36.55293570263985,36.57725239723596,3992200
2016-03-22,37.45257568359375,37.59035997887356,36.6745094840756,36.70692968199558,5710000
2016-03-23,36.80419158935547,37.64709828560719,36.77177138755488,37.4606867628947,2217600
2016-03-24,37.18511962890625,37.387741243788625,36.042333844640076,36.47189067882736,2573600
2016-03-28,36.63399124145508,37.33911364660499,36.326005498842186,37.266169736295645,3590400
2016-03-29,38.10097122192383,38.25496564461239,36.277376490799135,36.52862843345465,3091200
2016-03-30,37.606571197509766,38.25495971641297,37.24185168945161,38.019917912135455,2240900
2016-03-31,37.5660514831543,37.83351353672604,36.93387294454606,37.45258385743086,3312700
2016-04-01,38.498111724853516,38.62778945120364,37.06355013798977,37.46068991405252,3556800
2016-04-04,38.279273986816406,39.27617193170878,38.14149277679341,38.49000219148267,3693800
2016-04-05,37.217533111572266,37.72814039702206,36.958177717131775,37.48499510120412,5762300
2016-04-06,39.178916931152344,39.219440637177016,37.09596690552611,37.217538023600135,5661900
2016-04-07,38.9600830078125,39.559844335085636,38.627783690363444,38.862825500494836,3773000
2016-04-08,38.092864990234375,39.64089406084794,37.79298585494039,39.64089406084794,4405400
2016-04-11,36.9257698059082,38.47379905456854,36.64209764702139,38.352224830508334,5767900
2016-04-12,37.485008239746094,38.04424292531582,36.96629726905628,36.96629726905628,8075000
2016-04-13,38.27117919921875,38.5872684864481,37.40395876285474,37.857829291487214,4064800
2016-04-14,38.57105255126953,38.90335189167382,37.91455737506371,38.360327422230974,6559800
2016-04-15,38.00370788574219,38.57915250413986,37.801086279960444,38.22253959099771,7538300
2016-04-18,38.57915115356445,38.84661314787803,37.80108495662351,38.05233685203079,2577900
2016-04-19,38.71693420410156,39.68141186982817,38.619676705549665,38.71693420410156,3111200
2016-04-20,38.846614837646484,39.25185805265071,38.49810542540202,38.97629254277742,2619300
2016-04-21,39.55173873901367,39.87593456061431,38.91145369182068,38.935770388085054,3505800
2016-04-22,39.13839340209961,40.054240911088655,38.75746376187193,39.511216446029344,2749100
2016-04-25,36.488101959228516,38.09286482999135,36.4556817577762,37.97129062042544,8934000
2016-04-26,36.46378707885742,36.87713381175746,35.49930621582322,36.87713381175746,6889700
2016-04-27,36.050445556640625,36.5772631119821,35.864033999518874,36.35032474924856,6421500
